PLAYER,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP
Danny Amendola,34,15,10,1,1,19,1,0,0,0,0,0,97,62,678,10.94,1,0,0,1,0,0
Dante Pettis,24,11,4,1,1,16,0,0,0,0,0,0,24,11,109,9.91,2,0,0,2,0,0
Dare Ogunbowale,25,16,0,0,0,0,0,0,11,17,1.55,2,46,35,286,8.17,0,2,1,2,0,0
Darius Slayton,22,14,9,0,0,0,0,0,0,0,0,0,84,48,740,15.42,8,0,0,8,0,0
Darrel Williams,24,12,0,0,0,0,0,0,41,141,3.44,3,19,15,167,11.13,1,1,1,4,0,0
Darrell Daniels,25,11,0,0,0,0,0,0,0,0,0,0,3,1,4,4.00,0,0,0,0,0,0
Darrell Henderson,22,13,0,0,0,0,0,0,39,147,3.77,0,6,4,37,9.25,0,0,0,0,0,0
Darren Fells,33,16,14,0,0,0,0,0,0,0,0,0,48,34,341,10.03,7,0,0,7,0,0
Darren Waller,27,16,16,0,0,0,0,0,2,5,2.50,0,117,90,1145,12.72,3,1,1,3,0,0
Darrius Shepherd,24,6,0,0,0,0,0,0,0,0,0,0,2,1,1,1.00,0,1,1,0,0,0
Darwin Thompson,22,12,0,0,0,0,0,0,37,128,3.46,1,10,9,43,4.78,0,0,0,1,0,0
Davante Adams,27,12,12,0,0,0,0,0,0,0,0,0,127,83,997,12.01,5,2,1,5,1,0
David Blough,24,5,5,94,174,984,4,6,8,31,3.88,0,1,1,19,19.00,1,1,0,1,0,0
David Johnson,28,13,9,0,0,0,0,0,94,345,3.67,2,47,36,370,10.28,4,1,1,6,0,0
David Montgomery,22,16,8,0,0,0,0,0,242,889,3.67,6,35,25,185,7.40,1,2,2,7,0,0
David Moore,24,14,1,0,0,0,0,0,3,25,8.33,0,34,17,301,17.71,2,2,1,2,0,0
David Njoku,23,4,1,0,0,0,0,0,0,0,0,0,10,5,41,8.20,1,0,0,1,0,0
Dawson Knox,23,15,11,0,0,0,0,0,1,9,9.00,0,50,28,388,13.86,2,0,0,2,0,0
DeAndre Carter,26,16,3,0,0,0,0,0,0,0,0,0,14,11,162,14.73,0,2,1,0,0,0
DeAndre Hopkins,27,15,15,1,2,6,1,1,2,18,9.00,0,150,104,1165,11.20,7,0,0,7,1,0
DeAndre Washington,26,16,3,0,0,0,0,0,108,387,3.58,3,41,36,292,8.11,0,0,0,3,0,0
DeSean Jackson,33,3,3,0,0,0,0,0,0,0,0,0,10,9,159,17.67,2,0,0,2,0,0
DeVante Parker,26,16,14,0,0,0,0,0,0,0,0,0,128,72,1202,16.69,9,0,0,9,0,0
Dede Westbrook,26,15,11,0,0,0,0,0,5,27,5.40,0,101,66,660,10.00,3,1,0,3,2,0
Deebo Samuel,23,15,11,0,0,0,0,0,14,159,11.36,3,81,57,802,14.07,3,2,1,6,1,0
Demarcus Robinson,25,16,10,0,0,0,0,0,0,0,0,0,55,32,449,14.03,4,0,0,4,0,0
Demetrius Harris,28,15,6,0,0,0,0,0,0,0,0,0,27,15,149,9.93,3,0,0,3,1,0
Deon Yelder,24,9,1,0,0,0,0,0,0,0,0,0,4,3,50,16.67,0,0,0,0,0,0
Deontay Burnett,22,1,1,0,0,0,0,0,0,0,0,0,4,2,48,24.00,0,0,0,0,0,0
Deonte Harty,22,14,1,0,0,0,0,0,4,31,7.75,0,6,6,24,4.00,0,3,1,1,0,0
Derek Carr,28,16,16,361,513,4054,21,8,27,82,3.04,2,0,0,0,0,0,7,3,2,0,0
Derek Carrier,29,16,4,0,0,0,0,0,1,27,27.00,0,19,13,108,8.31,1,0,0,1,0,0
Derrick Henry,25,15,15,0,0,0,0,0,303,1540,5.08,16,24,18,206,11.44,2,5,3,18,0,0
Deshaun Watson,24,15,15,333,495,3852,26,12,82,413,5.04,7,1,1,6,6.00,1,10,3,8,0,1
Devin Singletary,22,12,8,0,0,0,0,0,151,775,5.13,2,41,29,194,6.69,2,4,1,4,0,0
Devine Ozigbo,23,10,0,0,0,0,0,0,9,27,3.00,0,5,3,23,7.67,0,0,0,0,0,0
Devonta Freeman,27,14,14,0,0,0,0,0,184,656,3.57,2,70,59,410,6.95,4,3,2,6,0,0
Devontae Booker,27,16,0,0,0,0,0,0,2,9,4.50,0,9,6,57,9.50,0,0,0,0,0,0
Dexter Williams,22,4,0,0,0,0,0,0,5,11,2.20,0,0,0,0,0,0,0,0,0,0,0
Dion Lewis,29,16,1,0,0,0,0,0,54,209,3.87,0,32,25,164,6.56,1,1,1,1,0,0
Diontae Johnson,23,16,12,0,0,0,0,0,4,41,10.25,0,92,59,680,11.53,5,5,2,6,0,0
Diontae Spencer,27,16,2,0,0,0,0,0,3,6,2.00,0,8,6,31,5.17,0,3,1,0,0,0
Donte Moncrief,26,8,2,0,0,0,0,0,0,0,0,0,15,4,18,4.50,0,0,0,0,0,0
Dontrell Hilliard,24,14,0,0,0,0,0,0,13,49,3.77,2,15,12,92,7.67,0,2,0,2,0,0
Dontrelle Inman,30,7,1,0,0,0,0,0,0,0,0,0,21,12,181,15.08,0,0,0,0,0,0
Drew Brees,40,11,11,281,378,2979,27,4,9,-4,-0.44,1,0,0,0,0,0,0,0,1,0,0
Drew Lock,23,5,5,100,156,1020,7,3,18,72,4.00,0,0,0,0,0,0,3,1,0,0,0
Drew Sample,23,9,2,0,0,0,0,0,0,0,0,0,6,5,30,6.00,0,0,0,0,0,0
Duke Johnson,26,16,2,0,0,0,0,0,83,410,4.94,2,62,44,410,9.32,3,1,1,5,0,0
Durham Smythe,24,16,14,0,0,0,0,0,0,0,0,0,14,7,65,9.29,0,0,0,0,0,0
Dwayne Harris,32,3,0,0,0,0,0,0,0,0,0,0,1,1,7,7.00,0,0,0,0,0,0
Dwayne Haskins,22,9,7,119,203,1365,7,7,20,101,5.05,0,0,0,0,0,0,6,2,0,0,1
Dwayne Washington,25,16,0,0,0,0,0,0,8,60,7.50,0,1,1,6,6.00,0,0,0,0,0,0
Elijhaa Penny,26,16,1,0,0,0,0,0,15,39,2.60,0,4,2,9,4.50,0,0,0,0,0,0
Emmanuel Sanders,32,17,16,1,1,35,1,0,0,0,0,0,97,66,869,13.17,5,0,0,5,1,0
Eric Ebron,26,11,2,0,0,0,0,0,0,0,0,0,52,31,375,12.10,3,0,0,3,0,0
Eric Saubert,25,2,0,0,0,0,0,0,0,0,0,0,3,2,21,10.50,0,0,0,0,0,0
Evan Engram,25,8,6,0,0,0,0,0,3,7,2.33,0,68,44,467,10.61,3,0,0,3,0,0
Ezekiel Elliott,24,16,16,0,0,0,0,0,301,1357,4.51,12,71,54,420,7.78,2,3,2,14,0,0
Foster Moreau,22,13,7,0,0,0,0,0,0,0,0,0,25,21,174,8.29,5,0,0,5,0,0
Frank Gore,36,16,8,0,0,0,0,0,166,599,3.61,2,16,13,100,7.69,0,0,0,2,0,0
Gardner Minshew II,23,14,12,285,470,3271,21,6,67,344,5.13,0,0,0,0,0,0,12,7,0,0,3
Garrett Gilbert,28,5,0,0,3,0,0,0,3,-3,-1.00,0,0,0,0,0,0,0,0,0,0,0
Gehrig Dieter,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoff Swaim,26,6,2,0,0,0,0,0,0,0,0,0,17,13,65,5.00,0,0,0,0,0,0
George Kittle,26,14,14,0,0,0,0,0,5,22,4.40,0,107,85,1053,12.39,5,1,0,5,0,0
Gerald Everett,25,13,2,0,0,0,0,0,1,0,0.00,0,60,37,408,11.03,2,0,0,2,0,0
Giovani Bernard,28,16,2,0,0,0,0,0,53,170,3.21,0,43,30,234,7.80,0,2,1,0,0,0
Golden Tate,31,11,10,0,0,0,0,0,1,16,16.00,0,85,49,676,13.80,6,1,1,6,0,0
Greg Olsen,34,14,14,0,0,0,0,0,0,0,0,0,82,52,597,11.48,2,0,0,2,0,0
Greg Ward,24,7,3,0,0,0,0,0,1,5,5.00,0,40,28,254,9.07,1,0,0,1,0,0
Gunner Olszewski,23,8,0,0,0,0,0,0,0,0,0,0,4,2,34,17.00,0,1,1,0,0,0
Gus Edwards,24,16,1,0,0,0,0,0,133,711,5.35,2,7,7,45,6.43,0,2,1,2,0,0
Hayden Hurst,26,16,4,0,0,0,0,0,0,0,0,0,39,30,349,11.63,2,0,0,2,0,0
Hunter Henry,25,12,12,0,0,0,0,0,0,0,0,0,76,55,652,11.85,5,1,1,5,1,0
Hunter Renfrow,24,13,4,0,0,0,0,0,0,0,0,0,71,49,605,12.35,4,1,0,4,0,0
Ian Thomas,23,16,3,0,0,0,0,0,0,0,0,0,30,16,136,8.50,1,0,0,1,0,0
Irv Smith Jr.,21,16,7,0,0,0,0,0,0,0,0,0,47,36,311,8.64,2,1,0,2,0,0
Isaac Nauta,22,6,0,0,0,0,0,0,0,0,0,0,3,2,13,6.50,0,0,0,0,0,0
Isaiah Ford,23,8,0,0,0,0,0,0,1,11,11.00,0,35,23,244,10.61,0,0,0,0,0,0
Isaiah McKenzie,24,15,8,0,0,0,0,0,8,49,6.13,0,39,27,254,9.41,1,0,0,1,0,0
Ito Smith,24,7,0,0,0,0,0,0,22,106,4.82,1,14,11,87,7.91,0,0,0,1,0,0
J.D. McKissic,26,16,3,0,0,0,0,0,38,205,5.39,0,42,34,233,6.85,1,0,0,1,0,0
JJ Arcega-Whiteside,23,16,5,0,0,0,0,0,0,0,0,0,22,10,169,16.90,1,0,0,1,0,0
Jace Sternberger,23,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jack Doyle,29,16,16,0,0,0,0,0,0,0,0,0,72,43,448,10.42,4,1,0,4,0,0
Jacob Hollister,26,11,3,0,0,0,0,0,0,0,0,0,59,41,349,8.51,3,0,0,3,0,0
Jacoby Brissett,27,15,15,272,447,2942,18,6,56,228,4.07,4,1,1,2,2.00,0,7,5,4,0,1
Jaeden Graham,24,16,0,0,0,0,0,0,0,0,0,0,10,9,149,16.56,1,0,0,1,0,0
Jake Kumerow,27,14,4,0,0,0,0,0,0,0,0,0,21,12,219,18.25,1,0,0,1,0,0
Jakeem Grant,27,10,2,0,0,0,0,0,4,5,1.25,1,33,19,164,8.63,0,2,1,2,0,0
Jakob Johnson,25,4,3,0,0,0,0,0,0,0,0,0,2,1,5,5.00,0,0,0,0,0,0
Jakobi Meyers,23,15,1,0,0,0,0,0,0,0,0,0,41,26,359,13.81,0,0,0,0,0,0
Jaleel Scott,24,3,0,0,0,0,0,0,0,0,0,0,3,1,6,6.00,0,0,0,0,0,0
Jalen Guyton,22,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Jalen Richard,26,16,0,0,0,0,0,0,39,145,3.72,0,43,36,323,8.97,0,2,0,0,0,0
Jamaal Williams,24,14,2,0,0,0,0,0,107,460,4.30,1,45,39,253,6.49,5,0,0,6,0,0
Jameis Winston,25,16,16,380,626,5109,33,30,59,250,4.24,1,0,0,0,0,0,12,5,1,2,2
James Conner,24,10,10,0,0,0,0,0,116,464,4.00,4,38,34,251,7.38,3,1,1,7,0,0
James O'Shaughnessy,27,5,5,0,0,0,0,0,0,0,0,0,20,14,153,10.93,2,0,0,2,0,0
James Washington,23,15,10,0,0,0,0,0,0,0,0,0,80,44,735,16.70,3,1,1,3,0,0
James White,27,15,1,1,1,35,0,0,67,263,3.93,1,95,72,645,8.96,5,1,1,6,1,0
Jamison Crowder,26,16,12,0,0,0,0,0,1,4,4.00,0,122,78,833,10.68,6,0,0,6,0,0
Jared Cook,32,14,7,0,0,0,0,0,0,0,0,0,65,43,705,16.40,9,0,0,9,0,0
Jared Goff,25,16,16,394,626,4638,22,16,33,40,1.21,2,0,0,0,0,0,10,5,2,0,0
Jarrett Stidham,23,3,0,2,4,14,0,1,2,-2,-1.00,0,0,0,0,0,0,0,0,0,0,0
